-4	-3	-2	-1	"WORD"	1	2	3	4	"from left"	"from right"
1	"A"	"Duna-parti"	"nagyon"	"elokelo"	"Trombita-szálló"	"portása"	"ijedtében"	"megdermedt"	1	0
"meg"	"olyan"	"Rolls-Royce"	"autó"	"amibol"	"az"	"egész"	"világon"	"csak"	1	1
"eszem"	"valamit"	"Rendkívül"	"éhes"	"vagyok"	"Szólt"	"és"	"továbbment"	"A"	0	0
"Szólt"	"és"	"továbbment"	"A"	"sofor"	"és"	"a"	"mentőautó"	"orvosa"	2	3
"bélszín"	"volt"	"még"	"és"	"kulonbozo"	"saláták"	"A"	"hölgy"	"evett"	1	1
"és"	"már"	"menni"	"készült"	"amikor"	"egy"	"sokkal"	"különösebb"	"esemény"	2	4
"amikor"	"egy"	"sokkal"	"különösebb"	"esemeny"	"duplázott"	"rá"	"az"	"elsőre"	1	0
"királyai"	"A"	"két"	"szigetország"	"kozott"	"nagyjában"	"nincs"	"különbség"	"Ezt"	1	3
"majd"	"megvásárolták"	"Kocsánypusztát"	"amelyre"	"akkor"	"kezdte"	"kivetni"	"hálóját"	"a"	0	0
"diplomáciai"	"megbeszélést"	"folytatott"	"a"	"gorog"	"királlyal"	"és"	"a"	"maga"	3	1
"az"	"angolok"	"gallipoli"	"kalandja"	"idejen"	"huszonöt"	"percet"	"töltött"	"egy"	1	3
"folyamán"	"megismerkedik"	"Athénban"	"a"	"gorog"	"herceggel"	"kiadnak"	"néhány"	"romantikus"	2	1
"romantikus"	"kommünikét"	"eljegyzés"	"és"	"eskuvo"	"karácsonyig"	"bezárólag"	"A"	"princessz"	2	2
"nem"	"tanár"	"igen"	"nagy"	"hiru"	"belgyógyász"	"Azért"	"mégis"	"kicsit"	1	1
"ellenkező"	"esetben"	"felséges"	"hozzátartozóim"	"szornyu"	"bosszút"	"állnak"	"magán"	"Maga"	4	1
"és"	"a"	"tényállás"	"ismerete"	"nelkul"	"segítsen"	"a"	"fiatal"	"főhercegnőn"	2	1
"a"	"mentőknek"	"hogy"	"késedelem"	"nelkul"	"szanatóriumi"	"kezelésre"	"szorulok"	"tehát"	1	3
"csak"	"medikus"	"Néhányad"	"magával"	"olykor"	"kirendelték"	"egy-egy"	"kocsival"	"a"	2	1
"és"	"egyéb"	"víkendszórakozásokhoz"	"asszisztálás"	"celjabol"	"Mit"	"csináljon"	"ő"	"most"	1	2
"alacsony"	"kövér"	"őszes"	"mélabús"	"szemu"	"Ágnes"	"ekkor"	"gondolta"	"hogy"	1	0
"azonban"	"úgy"	"hogy"	"ráér"	"kesobb"	"is"	"hozzájárulni"	"akkor"	"mond"	1	2
"nem"	"orvosi"	"hanem"	"üzleti"	"termeszetu"	"érdeklődés"	"Ez"	"az"	"érem"	1	1
"megélénkül"	"a"	"beteg"	"aki"	"delutan"	"fél"	"ötkor"	"még"	"sokkal"	2	2
"Baumgarten"	"nem"	"menne"	"minden"	"csutortokon"	"a"	"sógornőjéhez"	"Tisztviselőtelepre"	"akkor"	1	2
"meleg"	"bőre"	"fázott"	"a"	"huvos"	"szófán"	"és"	"indiai"	"templomokban"	2	1
"És"	"a"	"boszorkánymester"	"még"	"mindig"	"nem"	"szól"	"semmit"	"Most"	1	3
"tud"	"senki"	"és"	"mégis"	"nyilvanvalo"	"Hogy"	"mi"	"az"	"amivel"	1	1
"hindu"	"pagodából"	"kilépett"	"az"	"Erzsebet"	"körútra"	"valahogy"	"fiatalabbnak"	"ruganyosabbnak"	2	1
"és"	"visszaemlékezve"	"a"	"háta"	"mogott"	"hagyott"	"hallgatás"	"tornyára"	"és"	1	1
